[2026-01-17 15:01:12] 172.22.0.1      -> :9001 | HONEYPOT_TRIGGER     | Атака перехвачена. Выдан фейк: 'SSH-2.0-OpenSSH_8.9'
[2026-01-17 15:01:13] 172.22.0.1      -> :9002 | HONEYPOT_TRIGGER     | Атака перехвачена. Выдан фейк: 'Login:'
[2026-01-17 15:01:15] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки 'Warehouse/Legacy'
[2026-01-17 18:05:33] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки 'Warehouse/Legacy'
[2026-01-17 18:05:35] 172.22.0.1      -> :9001 | HONEYPOT_TRIGGER     | Атака перехвачена. Выдан фейк: 'SSH-2.0-OpenSSH_8.9'
[2026-01-17 18:05:37] 172.22.0.1      -> :9002 | HONEYPOT_TRIGGER     | Атака перехвачена. Выдан фейк: 'Login:'
[2026-01-17 18:08:42] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки 'Warehouse/Legacy'
[2026-01-17 18:13:20] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки
[2026-01-17 18:18:50] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки
[2026-01-17 18:20:05] 172.22.0.1      -> :9001 | HONEYPOT_TRIGGER     | Атака перехвачена
[2026-01-17 18:20:07] 172.22.0.1      -> :9002 | HONEYPOT_TRIGGER     | Атака перехвачена
[2026-01-17 18:20:11] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки
[2026-01-17 18:22:25] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки
[2026-01-17 18:26:06] 172.22.0.1      -> :9000 | OBFUSCATION          | Скрыты заголовки
